"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\APP.js", "JavaScript", 29, 0, 0, 0, 6, 35
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\index.js", "JavaScript", 18, 0, 0, 3, 4, 25
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\pages\404.js", "JavaScript", 8, 0, 0, 0, 5, 13
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\pages\Article.js", "JavaScript", 236, 0, 0, 18, 22, 276
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\pages\Home.js", "JavaScript", 322, 0, 0, 21, 29, 372
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\pages\Page.js", "JavaScript", 448, 0, 0, 12, 32, 492
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\pages\Wallpaper.js", "JavaScript", 55, 0, 0, 5, 12, 72
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\request.js", "JavaScript", 12, 0, 0, 0, 4, 16
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\serviceWorker.js", "JavaScript", 85, 0, 0, 30, 13, 128
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\404.module.css", "CSS", 0, 10, 0, 0, 0, 10
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Animate.css", "CSS", 0, 2766, 0, 10, 513, 3289
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Article.css", "CSS", 0, 142, 0, 19, 36, 197
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Home.css", "CSS", 0, 368, 0, 35, 74, 477
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Loading.css", "CSS", 0, 41, 0, 0, 4, 45
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Page.module.css", "CSS", 0, 201, 0, 72, 28, 301
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\TagCloud.css", "CSS", 0, 46, 0, 15, 8, 69
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\Wallpaper.css", "CSS", 0, 24, 0, 0, 4, 28
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\bootstrap.min.css", "CSS", 0, 6858, 0, 17, 1450, 8325
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\button.css", "CSS", 0, 1433, 0, 314, 252, 1999
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\css\style.css", "CSS", 0, 19, 0, 13, 4, 36
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\imgs\background.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\static\imgs\banner.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\YTMartian\Desktop\myblog-rebuild\frontend\src\store.js", "JavaScript", 14, 0, 0, 0, 3, 17
"Total", "-", 1240, 11920, 2, 588, 2508, 16258